Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
SRR19667530_1	(1.0, 7.328829022679348)	(2.0, 2.676765503292163)	(3.0, 1.6095020871885353)	(4.0, 1.0500494900374402)	(5.0, 0.8678687725036222)	(6.0, 0.8176614881439084)	(7.0, 0.6526946966762778)	(8.0, 0.47051397914245957)	(9.0, 0.4518655592374231)	('>10', 10.021373958198849)	('>50', 6.113812741174277)	('>100', 26.76908952676048)	('>500', 16.922723816901204)	('>1k', 24.247249358064007)	('>5k', 0.0)	('>10k+', 0.0)
SRR19667530_2	(1.0, 9.024400740198821)	(2.0, 2.4472464890763295)	(3.0, 1.2437061582820501)	(4.0, 0.8721722540201691)	(5.0, 0.7531092653957051)	(6.0, 0.5852734862503766)	(7.0, 0.5121143004690795)	(8.0, 0.493465880564043)	(9.0, 0.23238800189353184)	('>10', 9.490611237824734)	('>50', 7.443588529787265)	('>100', 29.60938732768143)	('>500', 14.884308071896832)	('>1k', 22.408228256659637)	('>5k', 0.0)	('>10k+', 0.0)
SRR19667531_1	(1.0, 3.35125095597072)	(2.0, 1.286354200808478)	(3.0, 0.8148148148148148)	(4.0, 0.614006336720201)	(5.0, 0.5364361411559051)	(6.0, 0.421501147164864)	(7.0, 0.3693870862012455)	(8.0, 0.3225172074729597)	(9.0, 0.29891838741396265)	('>10', 5.407844422593685)	('>50', 2.87719873265596)	('>100', 9.104337375723807)	('>500', 6.618048727193269)	('>1k', 22.741614771113298)	('>5k', 8.13427291598383)	('>10k+', 37.101496777013)
SRR19667531_2	(1.0, 5.1705451764448815)	(2.0, 1.3505954331913035)	(3.0, 0.8400524418223534)	(4.0, 0.5742379547689282)	(5.0, 0.45558833169452634)	(6.0, 0.35922648312028843)	(7.0, 0.32350049164208455)	(8.0, 0.2866819621981864)	(9.0, 0.25467059980334317)	('>10', 4.090899158745766)	('>50', 2.096143340981099)	('>100', 8.580465421173386)	('>500', 7.950617283950617)	('>1k', 28.90833606467825)	('>5k', 10.191084890199935)	('>10k+', 28.567354965585057)
SRR19667532_1	(1.0, 4.038588902217056)	(2.0, 1.7766086042321816)	(3.0, 1.0684661235567372)	(4.0, 0.7688139423945312)	(5.0, 0.6483973008146648)	(6.0, 0.5335383503846386)	(7.0, 0.45063612406619213)	(8.0, 0.4705511840197854)	(9.0, 0.45434125149941873)	('>10', 5.983317663731897)	('>50', 3.721337365747023)	('>100', 12.512678482935572)	('>500', 10.018664579444879)	('>1k', 38.043322202513004)	('>5k', 9.322563762927421)	('>10k+', 10.188174159514999)
SRR19667532_2	(1.0, 4.583705775830527)	(2.0, 1.4209163706424228)	(3.0, 0.8711680877374176)	(4.0, 0.637281918514985)	(5.0, 0.47471945238216534)	(6.0, 0.366807615889439)	(7.0, 0.3241986504073324)	(8.0, 0.248243538026186)	(9.0, 0.2584326384675593)	('>10', 4.991732934414613)	('>50', 3.1257381308558383)	('>100', 13.545482754947502)	('>500', 7.112918389936874)	('>1k', 29.929093123746625)	('>5k', 12.74841721587462)	('>10k+', 19.361143402325894)
SRR19667533_1	(1.0, 4.116720038050399)	(2.0, 1.5952235351363437)	(3.0, 0.9929050033206426)	(4.0, 0.763638196814375)	(5.0, 0.6378263928616048)	(6.0, 0.5549747170878293)	(7.0, 0.4203955400373052)	(8.0, 0.3857644163011768)	(9.0, 0.3846684946639575)	('>10', 6.329824192250958)	('>50', 3.724818460580795)	('>100', 12.18467594693109)	('>500', 6.508459419117695)	('>1k', 24.745691384083273)	('>5k', 9.687508904363302)	('>10k+', 26.966905358399252)
SRR19667533_2	(1.0, 6.108228837205224)	(2.0, 1.5803190008701617)	(3.0, 0.9620000131510595)	(4.0, 0.6479088719240219)	(5.0, 0.5150831694930486)	(6.0, 0.42346412062151906)	(7.0, 0.35902392835302704)	(8.0, 0.3314067030951019)	(9.0, 0.28998086520821414)	('>10', 4.5811716279039185)	('>50', 2.913617264711104)	('>100', 12.61778417796014)	('>500', 10.070204740080266)	('>1k', 30.366015908398484)	('>5k', 18.791549129071075)	('>10k+', 9.442241641953633)
SRR19667534_1	(1.0, 6.2525211778943115)	(2.0, 2.426176988149733)	(3.0, 1.5065682164968344)	(4.0, 1.09207195514788)	(5.0, 0.7863151925449134)	(6.0, 0.736622410859919)	(7.0, 0.5688361950529375)	(8.0, 0.6033288317519336)	(9.0, 0.6156058719329323)	('>10', 8.689221343342044)	('>50', 5.224172907495425)	('>100', 16.857545410433143)	('>500', 10.08529619820989)	('>1k', 25.028792582329245)	('>5k', 12.435472461429633)	('>10k+', 7.09145225692922)
SRR19667534_2	(1.0, 7.940906513262126)	(2.0, 2.09060455653577)	(3.0, 1.3276742024308539)	(4.0, 0.809115410023911)	(5.0, 0.6840065243699247)	(6.0, 0.5752670256239367)	(7.0, 0.4460657932429509)	(8.0, 0.3554495442879609)	(9.0, 0.30517214164196643)	('>10', 7.4112399225961845)	('>50', 5.259834786116421)	('>100', 20.632442955609733)	('>500', 11.978298869927682)	('>1k', 26.657546579675067)	('>5k', 6.386399377963298)	('>10k+', 7.139975796692215)
SRR19667535_1	(1.0, 6.594658212950131)	(2.0, 2.1479147288293245)	(3.0, 1.2784980732360145)	(4.0, 0.9890089029784164)	(5.0, 0.8162645456443743)	(6.0, 0.5524022855407278)	(7.0, 0.6178932781563811)	(8.0, 0.508741623796959)	(9.0, 0.4313863209248467)	('>10', 8.604946942804533)	('>50', 4.542132538582737)	('>100', 17.89375272879136)	('>500', 10.65699804476167)	('>1k', 31.312762201256668)	('>5k', 6.604624233565557)	('>10k+', 6.448015338180299)
SRR19667535_2	(1.0, 8.866436340856888)	(2.0, 2.007441295392851)	(3.0, 1.09483855046603)	(4.0, 0.7669090149775053)	(5.0, 0.5742326164126123)	(6.0, 0.4441997760018223)	(7.0, 0.39531881774521155)	(8.0, 0.3151160804115492)	(9.0, 0.3758613489246189)	('>10', 6.279067560128325)	('>50', 4.694944854685928)	('>100', 21.962262001936256)	('>500', 13.960971164980352)	('>1k', 32.01085821674671)	('>5k', 0.0)	('>10k+', 6.25154236033334)
SRR19667536_1	(1.0, 9.196305615838844)	(2.0, 2.8984044355681813)	(3.0, 1.6698270330288325)	(4.0, 1.1795496658182945)	(5.0, 0.9084551215959971)	(6.0, 0.8262615629754068)	(7.0, 0.7318110701745532)	(8.0, 0.594100809678652)	(9.0, 0.6748523760427406)	('>10', 10.446512902225715)	('>50', 5.2070340382272144)	('>100', 17.819419309718306)	('>500', 10.967793102951036)	('>1k', 23.13316077492664)	('>5k', 13.746512181229587)	('>10k+', 0.0)
SRR19667536_2	(1.0, 10.894972493997706)	(2.0, 2.385055192253618)	(3.0, 1.3107709611599385)	(4.0, 0.9084551215959971)	(5.0, 0.5948218058069028)	(6.0, 0.48450939818453176)	(7.0, 0.514791235571065)	(8.0, 0.46720549110651277)	(9.0, 0.4477385956437414)	('>10', 8.025407903559557)	('>50', 5.48533854373202)	('>100', 22.31555116549024)	('>500', 15.732135518432266)	('>1k', 25.068314383151762)	('>5k', 5.364932190314138)	('>10k+', 0.0)
SRR19667537_1	(1.0, 5.1483213926224165)	(2.0, 2.0122987912673507)	(3.0, 1.314465036414234)	(4.0, 0.9828882704719047)	(5.0, 0.7422413574346786)	(6.0, 0.6115561269803677)	(7.0, 0.5328912309787436)	(8.0, 0.41277923923432835)	(9.0, 0.4225066188474324)	('>10', 7.8698730365495715)	('>50', 4.103685408084721)	('>100', 15.503751385094272)	('>500', 10.959796317129493)	('>1k', 28.25930656471245)	('>5k', 15.223349094507837)	('>10k+', 5.900290129670199)
SRR19667537_2	(1.0, 6.438256515229693)	(2.0, 1.954780372685518)	(3.0, 1.157135244410986)	(4.0, 0.6834541502076584)	(5.0, 0.6174771406579093)	(6.0, 0.41870025291186996)	(7.0, 0.36710284800757886)	(8.0, 0.31804302039366283)	(9.0, 0.30070290890943385)	('>10', 5.397003967079164)	('>50', 4.084230648858513)	('>100', 17.99988157972645)	('>500', 15.007655024825963)	('>1k', 34.421390084839665)	('>5k', 5.442680358305913)	('>10k+', 5.3915058829500175)
